speaker,vowel,F1,F2
mas0M0kui0Tang2,i,342.88086811169404,2292.3757455512
mas0M0kui0Tang2,a,581.6839259535524,1374.370436565564
mas0M0kui0Tang2,a,670.199003635245,1472.3497874818033
mas0M0kui0Tang2,i,314.7112960558977,2334.0242149209867
mas0M0kui0Tang2,ā,573.4877743418782,1584.9637093807112
mas0M0kui0Tang2,i,336.1953142302838,2248.6344684372407
mas0M0kui0Tang2,a,656.6647323350487,1561.7941043859937
mas0M0kui0Tang2,a,540.1714347567912,1406.3045705131117
mas0M0kui0Tang2,ā,668.5445284416111,1272.8672567017188
mas0M0kui0Tang2,a,683.1910958385544,1274.708316968186
mas0M0kui0Tang2,ā,554.4356277019541,956.4757471103438
mas0M0kui0Tang2,i,359.9616428040544,2344.2624751037124
mas0M0kui0Tang2,a,375.2534863689705,1886.4746204866537
mas0M0kui0Tang2,o,473.4740328582257,1042.4326788105282
mas0M0kui0Tang2,i,392.60934151265036,2178.404528264541
mas0M0kui0Tang2,ā,656.8187004659258,1249.922181769813
mas0M0kui0Tang2,a,635.1800361244547,1244.830596957562
mas0M0kui0Tang2,i,348.2048182379397,2121.2336489201866
mas0M0kui0Tang2,a,351.3733955192277,1322.5834621853426
mas0M0kui0Tang2,a,504.40519324207673,1445.061963184602
mas0M0kui0Tang2,ā,607.0110184215315,1401.6872303124824
mas0M0kui0Tang2,a,701.4368428734177,1213.3798522146542
mas0M0kui0Tang2,ā,644.8992156283284,1209.3194338590147
mas0M0kui0Tang2,o,440.50643264178893,912.6572031791658
mas0M0kui0Tang2,i,367.16869169869767,2258.8298597882685
